Время - Уставка	Давление [МПа] - Уставка	Время - Текущее	Давление [МПа] - Текущее	Время - ДД 38.2	Давление [МПа] - ДД 38.2
2350	0	2350	0,504488	2350	0,00565972
2350	0	2350	0,504488	2350	-0,000321467
2350	0	2350	0,503111	2350	-0,000321467
2350	0	2350	0,503111	2350	0,00390127
2350	0	2350	0,501153	2350	0,00390127
2350	0	2350	0,501153	2350	0,00390127
2350	0	2350	0,501927	2350	-0,00276058
2350	0	2350	0,501927	2350	-0,00276058
2350	0	2350	0,501927	2350	-0,00272389
2350	0	2350	0,503096	2350	-0,00272389
2350	0	2350	0,503096	2350	-0,00272389
2351	0	2351	0,5039	2351	-0,00626774
2351	0	2351	0,5039	2351	-0,00626774
2351	0	2351	0,5039	2351	-0,00772171
2351	0	2351	0,505627	2351	-0,00772171
2351	0	2351	0,505627	2351	0,00172108
2351	0	2351	0,5052	2351	0,00172108
2351	0	2351	0,5052	2351	0,00505436
2351	0	2351	0,504119	2351	0,00505436
2351	0	2351	0,504119	2351	0,00505436
2352	0	2352	0,503615	2352	0,00740405
2352	0	2352	0,503615	2352	0,00740405
2352	0	2352	0,503615	2352	0,00281353
2352	0	2352	0,50368	2352	0,00281353
2352	0	2352	0,50368	2352	-0,00125158
2352	0	2352	0,50323	2352	-0,00125158
2352	0	2352	0,50323	2352	-1,59E-05
2352	0	2352	0,503727	2352	-1,59E-05
2352	0	2352	0,503727	2352	-1,59E-05
2352	0	2352	0,50425	2352	0,00298493
2352	0	2352	0,50425	2352	0,00298493
2353	0	2353	0,502896	2353	0,00631137
2353	0	2353	0,502896	2353	0,00631137
2353	0	2353	0,502896	2353	0,0115089
2353	0	2353	0,502896	2353	0,0115089
2353	0	2353	0,502896	2353	0,00742371
2353	0	2353	0,502965	2353	0,00742371
2353	0	2353	0,502965	2353	0,007124
2353	0	2353	0,50155	2353	0,007124
2353	0	2353	0,50155	2353	0,007124
2354	0	2354	0,50155	2354	-0,00342403
2354	0	2354	0,503361	2354	-0,00342403
2354	0	2354	0,503361	2354	-0,00624623
2354	0	2354	0,503711	2354	-0,00624623
2354	0	2354	0,503711	2354	0,00318508
2354	0	2354	0,503711	2354	0,00318508
2354	0	2354	0,504084	2354	0,00371514
2354	0	2354	0,504084	2354	0,00371514
2354	0	2354	0,503792	2354	0,00572343
2354	0	2354	0,503792	2354	0,00572343
2354	0	2354	0,504446	2354	0,00572343
2355	0	2355	0,504446	2355	0,0130367
2355	0	2355	0,504446	2355	0,0130367
2355	0	2355	0,504088	2355	0,0148678
2355	0	2355	0,504088	2355	0,0148678
2355	0	2355	0,505342	2355	0,0243651
2355	0	2355	0,505342	2355	0,0243651
2355	0	2355	0,504742	2355	0,0227986
2355	0	2355	0,504742	2355	0,0227986
2355	0	2355	0,504742	2355	0,0223197
2356	0	2356	0,504119	2356	0,0223197
2356	0	2356	0,504119	2356	0,0209633
2356	0	2356	0,504746	2356	0,0209633
2356	0	2356	0,504746	2356	0,0209633
2356	0	2356	0,504573	2356	0,0124946
2356	0	2356	0,504573	2356	0,0124946
2356	0	2356	0,504573	2356	0,00278381
2356	0	2356	0,504981	2356	0,00278381
2356	0	2356	0,504981	2356	0,000824277
2356	0	2356	0,505869	2356	0,000824277
2356	0	2356	0,505869	2356	0,000824277
2357	0	2357	0,505434	2357	-0,000427375
2357	0	2357	0,505434	2357	-0,000427375
2357	0	2357	0,505434	2357	-0,00291269
2357	0	2357	0,503261	2357	-0,00291269
2357	0	2357	0,503261	2357	-0,00216509
2357	0	2357	0,503261	2357	-0,00216509
2357	0	2357	0,503261	2357	-0,00216509
2357	0	2357	0,502988	2357	-0,00243152
2357	0	2357	0,502988	2357	-0,00243152
2358	0	2358	0,502988	2358	-0,00386422
2358	0	2358	0,502227	2358	-0,00386422
2358	0	2358	0,502227	2358	-0,00261755
2358	0	2358	0,503792	2358	-0,00261755
2358	0	2358	0,503792	2358	-0,00390216
2358	0	2358	0,503792	2358	-0,00390216
2358	0	2358	0,503627	2358	-0,00390216
2358	0	2358	0,503627	2358	0,00573401
2358	0	2358	0,503134	2358	0,00573401
2358	0	2358	0,503134	2358	0,00319411
2358	0	2358	0,504357	2358	0,00319411
2359	0	2359	0,504357	2359	0,00829569
2359	0	2359	0,504015	2359	0,00829569
2359	0	2359	0,504015	2359	0,00829569
2359	0	2359	0,504361	2359	0,00737441
2359	0	2359	0,504361	2359	0,00737441
2359	0	2359	0,504361	2359	0,00326794
2359	0	2359	0,505004	2359	0,00326794
2359	0	2359	0,505004	2359	-0,00501516
2359	0	2359	0,503361	2359	-0,00501516
2360	0	2360	0,503361	2360	-0,00292944
2360	0	2360	0,503677	2360	-0,00292944
2360	0	2360	0,503677	2360	-8,70E-05
2360	0	2360	0,503265	2360	-8,70E-05
2360	0	2360	0,503265	2360	0,0106066
2360	0	2360	0,503265	2360	0,0106066
2360	0	2360	0,502727	2360	0,0185541
2360	0	2360	0,502727	2360	0,0185541
2360	0	2360	0,503027	2360	0,0185557
2360	0	2360	0,503027	2360	0,0185557
2360	0	2360	0,503842	2360	0,0201803
2361	0	2361	0,503842	2361	0,0201803
2361	0	2361	0,503842	2361	0,00757165
2361	0	2361	0,503727	2361	0,00757165
2361	0	2361	0,503727	2361	0,00757165
2361	0	2361	0,504157	2361	0,00438288
2361	0	2361	0,504157	2361	0,00438288
2361	0	2361	0,503923	2361	0,00855523
2361	0	2361	0,503923	2361	0,00855523
2361	0	2361	0,504046	2361	0,00809917
2362	0	2362	0,504046	2362	0,00809917
2362	0	2362	0,503869	2362	0,0111049
2362	0	2362	0,503869	2362	0,0111049
2362	0	2362	0,503869	2362	0,0111049
2362	0	2362	0,504161	2362	0,00658506
2362	0	2362	0,504161	2362	0,00658506
2362	0	2362	0,502946	2362	0,0043388
2362	0	2362	0,502946	2362	0,0043388
2362	0	2362	0,502307	2362	0,00943278
2362	0	2362	0,502307	2362	0,00943278
2362	0	2362	0,503857	2362	0,0134453
2363	0	2363	0,503857	2363	0,0134453
2363	0	2363	0,503857	2363	0,0134453
2363	0	2363	0,503892	2363	0,00888763
2363	0	2363	0,503892	2363	0,00888763
2363	0	2363	0,503596	2363	0,00308183
2363	0	2363	0,503596	2363	0,00308183
2363	0	2363	0,504188	2363	0,00308183
2363	0	2363	0,504188	2363	-0,0023024
2363	0	2363	0,502892	2363	-0,0023024
2364	0	2364	0,502892	2364	-0,00821594
2364	0	2364	0,502761	2364	-0,00821594
2364	0	2364	0,502761	2364	-0,00821594
2364	0	2364	0,502642	2364	0,00119997
2364	0	2364	0,502642	2364	0,00119997
2364	0	2364	0,502653	2364	0,00177722
2364	0	2364	0,502653	2364	0,00177722
2364	0	2364	0,502653	2364	0,00425076
2364	0	2364	0,50213	2364	0,00425076
2364	0	2364	0,50213	2364	0,00427402
2364	0	2364	0,500792	2364	0,00427402
2365	0	2365	0,500792	2365	0,00427402
2365	0	2365	0,499992	2365	0,00137936
2365	0	2365	0,499992	2365	0,00137936
2365	0	2365	0,499992	2365	0,00776395
2365	0	2365	0,499261	2365	0,00776395
2365	0	2365	0,499261	2365	0,00594918
2365	0	2365	0,500392	2365	0,00594918
2365	0	2365	0,500392	2365	0,00638487
2365	0	2365	0,500392	2365	0,00638487
2366	0	2366	0,502523	2366	0,00638487
2366	0	2366	0,502523	2366	0,00457497
2366	0	2366	0,502584	2366	0,00457497
2366	0	2366	0,502584	2366	0,00347569
2366	0	2366	0,503923	2366	0,00347569
2366	0	2366	0,503923	2366	0,0046666
2366	0	2366	0,503923	2366	0,0046666
2366	0	2366	0,503827	2366	-0,000783057
2366	0	2366	0,503827	2366	-0,000783057
2366	0	2366	0,503454	2366	-0,00448033
2366	0	2366	0,503454	2366	-0,00448033
2367	0	2367	0,503004	2367	-0,00259091
2367	0	2367	0,503004	2367	-0,00259091
2367	0	2367	0,503004	2367	-0,000784058
2367	0	2367	0,504177	2367	-0,000784058
2367	0	2367	0,504177	2367	-0,00715323
2367	0	2367	0,503504	2367	-0,00715323
2367	0	2367	0,503504	2367	0,00672829
2367	0	2367	0,503904	2367	0,00672829
2367	0	2367	0,503904	2367	0,00745361
2368	0	2368	0,50303	2368	0,00745361
2368	0	2368	0,50303	2368	0,00154841
2368	0	2368	0,50303	2368	0,00154841
2368	0	2368	0,505219	2368	0,00259273
2368	0	2368	0,505219	2368	0,00259273
2368	0	2368	0,503134	2368	0,0137962
2368	0	2368	0,503134	2368	0,0137962
2368	0	2368	0,503961	2368	0,0137962
2368	0	2368	0,503961	2368	0,00726321
2368	0	2368	0,503961	2368	0,00726321
2368	0	2368	0,503877	2368	0,00690498
2369	0	2369	0,503877	2369	0,00690498
2369	0	2369	0,503346	2369	0,00723519
2369	0	2369	0,503346	2369	0,00723519
2369	0	2369	0,503346	2369	0,00450549
2369	0	2369	0,503711	2369	0,00450549
2369	0	2369	0,503711	2369	0,00260187
2369	0	2369	0,503619	2369	0,00260187
2369	0	2369	0,503619	2369	0,00260187
2369	0	2369	0,502784	2369	0,00204796
2370	0	2370	0,502784	2370	0,00204796
2370	0	2370	0,502784	2370	0,00101382
2370	0	2370	0,503077	2370	0,00101382
2370	0	2370	0,503077	2370	0,00222156
2370	0	2370	0,502423	2370	0,00222156
2370	0	2370	0,502423	2370	0,00222156
2370	0	2370	0,502292	2370	-0,00242947
2370	0	2370	0,502292	2370	-0,00242947
2370	0	2370	0,502234	2370	-0,0116805
2370	0	2370	0,502234	2370	-0,0116805
2370	0	2370	0,502234	2370	0,00155422
2371	0	2371	0,5032	2371	0,00155422
2371	0	2371	0,5032	2371	0,00155422
2371	0	2371	0,503142	2371	-0,00568745
2371	0	2371	0,503142	2371	-0,00568745
2371	0	2371	0,503761	2371	-0,000613246
2371	0	2371	0,503761	2371	-0,000613246
2371	0	2371	0,503761	2371	0,00593803
2371	0	2371	0,502988	2371	0,00593803
2371	0	2371	0,502988	2371	-0,00211443
2372	0	2372	0,501119	2372	-0,00211443
2372	0	2372	0,501119	2372	-0,00534097
2372	0	2372	0,499053	2372	-0,00534097
2372	0	2372	0,499053	2372	-0,00651056
2372	0	2372	0,498726	2372	-0,00651056
2372	0	2372	0,498726	2372	-0,00964
2372	0	2372	0,498326	2372	-0,00964
2372	0	2372	0,498326	2372	-0,0198971
2372	0	2372	0,498326	2372	-0,0198971
2372	0	2372	0,499669	2372	-0,0155121
2372	0	2372	0,499669	2372	-0,0155121
2373	0	2373	0,501496	2373	-0,0155121
2373	0	2373	0,501496	2373	-0,0156548
2373	0	2373	0,501342	2373	-0,0156548
2373	0	2373	0,501342	2373	-0,00885227
2373	0	2373	0,50195	2373	-0,00885227
2373	0	2373	0,50195	2373	-0,00140731
2373	0	2373	0,50195	2373	-0,00140731
2373	0	2373	0,502392	2373	-0,00168799
2373	0	2373	0,502392	2373	-0,00168799
2374	0	2374	0,502665	2374	0,00348922
2374	0	2374	0,502665	2374	0,00348922
2374	0	2374	0,502665	2374	0,00125408
2374	0	2374	0,502896	2374	0,00125408
2374	0	2374	0,502896	2374	-0,00278231
2374	0	2374	0,503034	2374	-0,00278231
2374	0	2374	0,503034	2374	0,000142578
2374	0	2374	0,503034	2374	0,000142578
2374	0	2374	0,503265	2374	0,00614995
2374	0	2374	0,503265	2374	0,00614995
2374	0	2374	0,501938	2374	0,00437247
2375	0	2375	0,501938	2375	0,00437247
2375	0	2375	0,501938	2375	0,00437247
2375	0	2375	0,502196	2375	0,00409386
2375	0	2375	0,502196	2375	0,00409386
2375	0	2375	0,503546	2375	-0,00104474
2375	0	2375	0,503546	2375	-0,00104474
2375	0	2375	0,504042	2375	-0,00787015
2375	0	2375	0,504042	2375	-0,00787015
2375	0	2375	0,503615	2375	-0,00287545
2376	0	2376	0,503615	2376	-0,00287545
2376	0	2376	0,503615	2376	-0,00619431
2376	0	2376	0,503365	2376	-0,00619431
2376	0	2376	0,503365	2376	0,00194465
2376	0	2376	0,50103	2376	0,00194465
2376	0	2376	0,50103	2376	0,00519007
2376	0	2376	0,501819	2376	0,00519007
2376	0	2376	0,501819	2376	0,00519007
2376	0	2376	0,501819	2376	0,00418862
2376	0	2376	0,500534	2376	0,00418862
2376	0	2376	0,500534	2376	-0,00513839
2377	0	2377	0,4999	2377	-0,00513839
